length;revenue;time
0;0;5.7220458984375e-06
1;1993;3.5762786865234375e-06
2;8899;5.0067901611328125e-06
3;10892;3.337860107421875e-06
4;17798;3.5762786865234375e-06
5;19791;3.5762786865234375e-06
6;26697;4.5299530029296875e-06
7;28690;5.0067901611328125e-06
8;35596;5.245208740234375e-06
9;37589;4.5299530029296875e-06
10;44495;6.198883056640625e-06
11;46488;6.198883056640625e-06
12;53394;7.62939453125e-06
13;55387;8.58306884765625e-06
14;62293;1.239776611328125e-05
15;64286;1.2159347534179688e-05
16;71192;2.0265579223632812e-05
17;73185;1.33514404296875e-05
18;80091;1.3589859008789062e-05
19;82084;1.4066696166992188e-05
