length;revenue;time
0;0;3.5762786865234375e-06
1;6340;2.6226043701171875e-06
2;12680;2.384185791015625e-06
3;19020;2.86102294921875e-06
4;25360;2.6226043701171875e-06
5;31700;3.337860107421875e-06
6;38040;3.814697265625e-06
7;44380;3.814697265625e-06
8;50720;4.76837158203125e-06
9;57060;5.245208740234375e-06
10;63400;6.198883056640625e-06
11;69740;6.67572021484375e-06
12;76080;7.62939453125e-06
13;82420;8.344650268554688e-06
14;88760;9.059906005859375e-06
15;95100;1.049041748046875e-05
16;101440;1.1920928955078125e-05
17;107780;1.2874603271484375e-05
18;114120;1.33514404296875e-05
19;120460;1.5497207641601562e-05
20;126800;1.5735626220703125e-05
21;133140;1.7404556274414062e-05
22;139480;1.8835067749023438e-05
23;145820;1.9788742065429688e-05
24;152160;2.1457672119140625e-05
25;158500;2.2649765014648438e-05
26;164840;2.4557113647460938e-05
27;171180;2.574920654296875e-05
28;177520;2.86102294921875e-05
29;183860;2.9325485229492188e-05
