length;revenue;time
0;0;2.1457672119140625e-06
1;5173;3.337860107421875e-06
2;10346;3.5762786865234375e-06
3;15519;4.291534423828125e-06
4;20692;5.0067901611328125e-06
5;25865;6.198883056640625e-06
6;31038;1.0013580322265625e-05
7;36211;1.71661376953125e-05
8;41384;3.24249267578125e-05
9;46557;6.389617919921875e-05
10;51730;0.0001277923583984375
11;56903;0.00024962425231933594
12;62076;0.0005021095275878906
13;67249;0.000972747802734375
14;72422;0.0019383430480957031
15;77595;0.003918886184692383
16;82768;0.007784605026245117
17;87941;0.015587568283081055
18;93114;0.031037330627441406
19;98287;0.06229662895202637
20;103460;0.12499570846557617
21;108633;0.24854135513305664
22;113806;0.5096735954284668
23;118979;1.0321359634399414
24;124152;1.999387502670288
25;129325;4.007018566131592
26;134498;8.007392168045044
27;139671;16.025753259658813
28;144844;31.871063947677612
29;150017;62.71346473693848
30;155190;125.78159141540527
31;160363;256.4477300643921
32;165536;511.9988875389099
33;170709;1009.4237132072449
34;175882;2020.943359375
35;181055;4058.5951311588287
36;186228;8076.973545074463
37;191401;16175.40213060379
