length;revenue;time
0;0;6.67572021484375e-06
1;8235;2.384185791015625e-06
2;16470;4.5299530029296875e-06
3;24705;3.337860107421875e-06
4;32940;3.0994415283203125e-06
5;41175;3.337860107421875e-06
6;49410;3.814697265625e-06
7;57645;4.5299530029296875e-06
8;65880;4.5299530029296875e-06
9;74115;5.4836273193359375e-06
10;82350;6.198883056640625e-06
11;90585;6.67572021484375e-06
12;98820;7.62939453125e-06
13;107055;8.344650268554688e-06
14;115290;1.0728836059570312e-05
15;123525;1.0013580322265625e-05
16;131760;1.0967254638671875e-05
17;139995;1.1682510375976562e-05
18;148230;1.239776611328125e-05
19;156465;1.4066696166992188e-05
20;164700;1.52587890625e-05
21;172935;1.6450881958007812e-05
22;181170;1.811981201171875e-05
23;189405;1.8596649169921875e-05
24;197640;2.0265579223632812e-05
25;205875;2.193450927734375e-05
26;214110;2.3126602172851562e-05
27;222345;2.4557113647460938e-05
28;230580;2.6702880859375e-05
29;238815;2.9087066650390625e-05
30;247050;2.956390380859375e-05
31;255285;3.170967102050781e-05
32;263520;3.409385681152344e-05
33;271755;3.600120544433594e-05
34;279990;3.790855407714844e-05
35;288225;3.981590270996094e-05
36;296460;4.172325134277344e-05
37;304695;4.3392181396484375e-05
38;312930;4.458427429199219e-05
39;321165;4.792213439941406e-05
40;329400;5.1021575927734375e-05
41;337635;5.2928924560546875e-05
42;345870;5.459785461425781e-05
43;354105;5.793571472167969e-05
44;362340;6.031990051269531e-05
45;370575;6.246566772460938e-05
46;378810;6.532669067382812e-05
47;387045;6.818771362304688e-05
48;395280;7.200241088867188e-05
49;403515;7.295608520507812e-05
50;411750;7.557868957519531e-05
51;419985;7.987022399902344e-05
52;428220;8.20159912109375e-05
53;436455;8.416175842285156e-05
54;444690;8.749961853027344e-05
55;452925;9.202957153320312e-05
56;461160;9.560585021972656e-05
57;469395;0.00011038780212402344
58;477630;0.00010633468627929688
59;485865;0.00010824203491210938
60;494100;0.00010776519775390625
61;502335;0.00011444091796875
62;510570;0.00011777877807617188
63;518805;0.00012302398681640625
64;527040;0.000125885009765625
65;535275;0.00012874603271484375
66;543510;0.00013303756713867188
67;551745;0.00014734268188476562
