length;revenue;time
0;0;2.86102294921875e-06
1;6340;2.86102294921875e-06
2;12680;2.1457672119140625e-06
3;19020;3.814697265625e-06
4;25360;3.814697265625e-06
5;31700;4.76837158203125e-06
6;38040;9.5367431640625e-06
7;44380;1.7642974853515625e-05
8;50720;3.361701965332031e-05
9;57060;6.532669067382812e-05
10;63400;0.0001270771026611328
11;69740;0.0002772808074951172
12;76080;0.0005385875701904297
13;82420;0.001051187515258789
14;88760;0.0020608901977539062
15;95100;0.00412750244140625
16;101440;0.008260726928710938
17;107780;0.016420602798461914
18;114120;0.03307294845581055
19;120460;0.06600689888000488
20;126800;0.13208508491516113
21;133140;0.26520586013793945
22;139480;0.5287497043609619
23;145820;1.0595951080322266
24;152160;2.1052632331848145
25;158500;4.207252740859985
26;164840;8.447747468948364
27;171180;16.911530256271362
28;177520;34.098371267318726
29;183860;68.73962998390198
